injuried,prev_player_age,prev_player_height,prev_player_weight,prev_games_appearences,prev_games_lineups,prev_games_minutes,prev_games_position,prev_games_rating,prev_substitutes_in,prev_substitutes_out,prev_substitutes_bench,prev_shots_total,prev_shots_on,prev_goals_total,prev_goals_conceded,prev_goals_assists,prev_goals_saves,prev_passes_total,prev_passes_key,prev_passes_accuracy,prev_tackles_total,prev_tackles_blocks,prev_tackles_interceptions,prev_duels_total,prev_duels_won,prev_dribbles_attempts,prev_dribbles_success,prev_fouls_drawn,prev_fouls_committed,prev_cards_yellow,prev_cards_yellowred,prev_cards_red,prev_penalty_scored,prev_penalty_missed,prev_penalty_saved,player_minutes_avg_5,player_rating_avg_5,player_shots_total_5,player_shots_on_5,player_goals_5,player_assists_5,player_fouls_committed_5,player_fouls_drawn_5,player_yellow_cards_5,player_red_cards_5,player_duels_total_5,player_duels_won_5,player_passes_total_5,player_passes_key_5,player_tackles_total_5,player_tackles_blocks_5,player_tackles_interceptions_5,player_duels_win_ratio_5,player_pass_acc_mean_5,team_shots_on_goal_5,team_shots_off_goal_5,team_total_shots_5,team_fouls_5,team_corners_5,team_offsides_5,team_ball_poss_avg_5,team_yellow_cards_5,team_red_cards_5,team_passes_5,team_passes_acc_5,team_pass_acc_ratio_5,opp_shots_on_goal_5,opp_shots_off_goal_5,opp_total_shots_5,opp_fouls_5,opp_corners_5,opp_offsides_5,opp_ball_poss_avg_5,opp_yellow_cards_5,opp_red_cards_5,opp_passes_5,opp_passes_acc_5,opp_pass_acc_ratio_5,days_since_last_injury,inj_count_last_6m,team_vs_opp_shots_diff_5,team_vs_opp_sog_diff_5,team_vs_opp_fouls_diff_5,team_vs_opp_corners_diff_5,team_vs_opp_offsides_diff_5,team_vs_opp_poss_diff_5,team_vs_opp_pass_acc_diff_5,team_vs_opp_shots_ratio_5,team_vs_opp_sog_ratio_5,team_vs_opp_fouls_ratio_5,team_vs_opp_corners_ratio_5,team_vs_opp_offsides_ratio_5,team_vs_opp_poss_ratio_5,team_vs_opp_pass_acc_ratio_5,player_id
1,31.0,189.0,77.0,33.0,33.0,2939.0,2,6.969696,0.0,1.0,0.0,,,0.0,39.0,0.0,90.0,1080.0,2.0,,,,,17.0,15.0,,,12.0,,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,6.0,5.0,14.0,12.0,6.0,3.0,65.0,4.0,0.0,579.0,507.0,0.8756476683937824,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0,14.0,6.0,12.0,6.0,3.0,,,,,,,,,,1557
1,31.0,189.0,77.0,33.0,33.0,2939.0,2,6.969696,0.0,1.0,0.0,,,0.0,39.0,0.0,90.0,1080.0,2.0,,,,,17.0,15.0,,,12.0,,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,3.0,1,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1557
1,31.0,189.0,77.0,33.0,33.0,2939.0,2,6.969696,0.0,1.0,0.0,,,0.0,39.0,0.0,90.0,1080.0,2.0,,,,,17.0,15.0,,,12.0,,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,7.0,3.0,15.0,19.0,7.0,0.0,64.0,1.0,0.0,561.0,505.0,0.9001782531194296,6.0,2.0,11.0,12.0,2.0,0.0,53.0,9.0,0.0,491.0,401.0,0.8167006109979633,3.0,2,4.0,1.0,7.0,5.0,0.0,11.0,0.0834776421214662,1.3636363636363635,1.1666666666666667,1.5833333333333333,3.5,,1.2075471698113207,1.1022132725227929,1557
1,31.0,189.0,77.0,33.0,33.0,2939.0,2,6.969696,0.0,1.0,0.0,,,0.0,39.0,0.0,90.0,1080.0,2.0,,,,,17.0,15.0,,,12.0,,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,13.0,8.0,29.0,31.0,13.0,3.0,64.5,5.0,0.0,1140.0,1012.0,0.887719298245614,4.0,2.0,7.0,15.0,4.0,2.0,39.0,2.0,0.0,363.0,276.0,0.7603305785123967,6.0,3,22.0,9.0,16.0,9.0,1.0,25.5,0.1273887197332173,4.142857142857143,3.25,2.066666666666667,3.25,1.5,1.6538461538461535,1.1675438596491228,1557
1,34.0,184.0,70.0,3.0,3.0,226.0,1,6.566666,0.0,1.0,2.0,1.0,,0.0,0.0,,,116.0,,,4.0,1.0,3.0,22.0,11.0,2.0,2.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,,86.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,58.0,0.0,1.0,2.0,0.0,0.6666666666666666,47.0,16.0,12.0,38.0,26.0,11.0,1.0,60.5,1.0,0.0,1129.0,973.0,0.8618246235606731,9.0,3.0,17.0,10.0,5.0,4.0,64.0,1.0,0.0,648.0,594.0,0.9166666666666666,,0,21.0,7.0,16.0,6.0,-3.0,-3.5,-0.0548420431059935,2.235294117647059,1.7777777777777777,2.6,2.2,0.25,0.9453125,0.9401723166116436,1561
1,34.0,184.0,70.0,3.0,3.0,226.0,1,6.566666,0.0,1.0,2.0,1.0,,0.0,0.0,,,116.0,,,4.0,1.0,3.0,22.0,11.0,2.0,2.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,9.0,11.0,31.0,27.0,9.0,3.0,51.5,0.0,0.0,972.0,832.0,0.8559670781893004,5.0,4.0,10.0,11.0,3.0,1.0,40.0,1.0,0.0,342.0,255.0,0.7456140350877193,11.0,1,21.0,4.0,16.0,6.0,2.0,11.5,0.1103530431015811,3.1,1.8,2.4545454545454546,3.0,3.0,1.2875,1.14800290486565,1561
1,34.0,184.0,70.0,3.0,3.0,226.0,1,6.566666,0.0,1.0,2.0,1.0,,0.0,0.0,,,116.0,,,4.0,1.0,3.0,22.0,11.0,2.0,2.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,14.0,17.0,45.0,38.0,20.0,5.0,55.66666666666666,1.0,0.0,1583.0,1365.0,0.8622867972204674,2.0,5.0,9.0,12.0,6.0,6.0,31.0,1.0,0.0,194.0,116.0,0.5979381443298969,4.0,2,36.0,12.0,26.0,14.0,-1.0,24.666666666666664,0.2643486528905705,5.0,7.0,3.1666666666666665,3.333333333333333,0.8333333333333334,1.7956989247311828,1.442100333282506,1561
1,34.0,184.0,70.0,3.0,3.0,226.0,1,6.566666,0.0,1.0,2.0,1.0,,0.0,0.0,,,116.0,,,4.0,1.0,3.0,22.0,11.0,2.0,2.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,14.0,17.0,45.0,38.0,20.0,5.0,55.66666666666666,1.0,0.0,1583.0,1365.0,0.8622867972204674,3.0,5.0,12.0,17.0,3.0,0.0,46.0,3.0,0.0,400.0,317.0,0.7925,5.0,3,33.0,11.0,21.0,17.0,5.0,9.666666666666664,0.0697867972204674,3.75,4.666666666666667,2.235294117647059,6.666666666666667,,1.210144927536232,1.0880590501204637,1561
1,34.0,184.0,70.0,3.0,3.0,226.0,1,6.566666,0.0,1.0,2.0,1.0,,0.0,0.0,,,116.0,,,4.0,1.0,3.0,22.0,11.0,2.0,2.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,14.0,17.0,45.0,38.0,20.0,5.0,55.66666666666666,1.0,0.0,1583.0,1365.0,0.8622867972204674,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,2.0,4,45.0,14.0,38.0,20.0,5.0,,,,,,,,,,1561
1,29.0,184.0,78.0,29.0,22.0,2047.0,1,7.292857,7.0,9.0,9.0,7.0,3.0,0.0,0.0,8.0,,1217.0,28.0,,64.0,5.0,27.0,255.0,147.0,18.0,8.0,25.0,30.0,6.0,0.0,0.0,0.0,0.0,,86.5,6.75,1.0,0.0,0.0,1.0,4.0,2.0,1.0,0.0,30.0,16.0,96.0,4.0,6.0,0.0,2.0,0.5333333333333333,38.0,3.0,5.0,14.0,18.0,6.0,1.0,54.0,4.0,0.0,500.0,424.0,0.848,3.0,4.0,9.0,10.0,0.0,0.0,31.0,3.0,0.0,290.0,216.0,0.7448275862068966,,0,5.0,0.0,8.0,6.0,1.0,23.0,0.1031724137931033,1.5555555555555556,1.0,1.8,,,1.7419354838709675,1.1385185185185185,1564
1,29.0,184.0,78.0,29.0,22.0,2047.0,1,7.292857,7.0,9.0,9.0,7.0,3.0,0.0,0.0,8.0,,1217.0,28.0,,64.0,5.0,27.0,255.0,147.0,18.0,8.0,25.0,30.0,6.0,0.0,0.0,0.0,0.0,,90.0,7.2,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,16.0,8.0,47.0,3.0,3.0,0.0,1.0,0.5,38.0,5.0,7.0,17.0,10.0,6.0,1.0,68.0,3.0,0.0,621.0,523.0,0.8421900161030595,18.0,10.0,38.0,26.0,18.0,7.0,51.66666666666666,3.0,0.0,1367.0,1070.0,0.7827359180687637,14.0,1,-21.0,-13.0,-16.0,-12.0,-6.0,16.333333333333336,0.0594540980342958,0.4473684210526316,0.2777777777777778,0.3846153846153846,0.3333333333333333,0.1428571428571428,1.3161290322580643,1.075956777582133,1564
1,29.0,184.0,78.0,29.0,22.0,2047.0,1,7.292857,7.0,9.0,9.0,7.0,3.0,0.0,0.0,8.0,,1217.0,28.0,,64.0,5.0,27.0,255.0,147.0,18.0,8.0,25.0,30.0,6.0,0.0,0.0,0.0,0.0,,90.0,7.2,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,16.0,8.0,47.0,3.0,3.0,0.0,1.0,0.5,38.0,6.0,4.0,21.0,12.0,7.0,5.0,69.0,1.0,0.0,643.0,556.0,0.864696734059098,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,15.0,2,21.0,6.0,12.0,7.0,5.0,,,,,,,,,,1564
1,29.0,184.0,78.0,29.0,22.0,2047.0,1,7.292857,7.0,9.0,9.0,7.0,3.0,0.0,0.0,8.0,,1217.0,28.0,,64.0,5.0,27.0,255.0,147.0,18.0,8.0,25.0,30.0,6.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,3.0,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1564
1,29.0,184.0,78.0,29.0,22.0,2047.0,1,7.292857,7.0,9.0,9.0,7.0,3.0,0.0,0.0,8.0,,1217.0,28.0,,64.0,5.0,27.0,255.0,147.0,18.0,8.0,25.0,30.0,6.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,6.0,4.0,21.0,12.0,7.0,5.0,69.0,1.0,0.0,643.0,556.0,0.864696734059098,12.0,4.0,16.0,8.0,9.0,1.0,64.0,3.0,0.0,582.0,496.0,0.852233676975945,13.0,4,5.0,-6.0,4.0,-2.0,4.0,5.0,0.0124630570831529,1.3125,0.5,1.5,0.7777777777777778,5.0,1.078125,1.014623990367732,1564
1,29.0,184.0,78.0,29.0,22.0,2047.0,1,7.292857,7.0,9.0,9.0,7.0,3.0,0.0,0.0,8.0,,1217.0,28.0,,64.0,5.0,27.0,255.0,147.0,18.0,8.0,25.0,30.0,6.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,11.0,2.0,20.0,9.0,9.0,0.0,76.0,1.0,0.0,771.0,710.0,0.920881971465629,6.0,5.0,13.0,12.0,7.0,1.0,53.0,2.0,0.0,466.0,378.0,0.8111587982832618,3.0,5,7.0,5.0,-3.0,2.0,-1.0,23.0,0.1097231731823672,1.5384615384615383,1.8333333333333333,0.75,1.2857142857142858,0.0,1.4339622641509433,1.1352671923359343,1564
1,29.0,184.0,78.0,29.0,22.0,2047.0,1,7.292857,7.0,9.0,9.0,7.0,3.0,0.0,0.0,8.0,,1217.0,28.0,,64.0,5.0,27.0,255.0,147.0,18.0,8.0,25.0,30.0,6.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,15.0,9.0,31.0,25.0,20.0,3.0,40.0,2.0,0.0,1158.0,948.0,0.8186528497409327,7.0,6,-31.0,-15.0,-25.0,-20.0,-3.0,,,0.0,0.0,0.0,0.0,0.0,,,1564
1,29.0,184.0,78.0,29.0,22.0,2047.0,1,7.292857,7.0,9.0,9.0,7.0,3.0,0.0,0.0,8.0,,1217.0,28.0,,64.0,5.0,27.0,255.0,147.0,18.0,8.0,25.0,30.0,6.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,8.0,7,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1564
1,29.0,184.0,78.0,29.0,22.0,2047.0,1,7.292857,7.0,9.0,9.0,7.0,3.0,0.0,0.0,8.0,,1217.0,28.0,,64.0,5.0,27.0,255.0,147.0,18.0,8.0,25.0,30.0,6.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,5.0,8,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1564
1,26.0,181.0,79.0,22.0,11.0,1153.0,1,6.819047,11.0,3.0,27.0,5.0,3.0,1.0,0.0,0.0,,948.0,3.0,,36.0,10.0,20.0,174.0,99.0,16.0,10.0,38.0,14.0,4.0,0.0,0.0,0.0,0.0,,87.0,6.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,3.0,45.0,0.0,2.0,1.0,0.0,0.5,39.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,1.0,2.0,5.0,14.0,5.0,3.0,35.0,0.0,0.0,291.0,212.0,0.7285223367697594,,0,-5.0,-1.0,-14.0,-5.0,-3.0,,,0.0,0.0,0.0,0.0,0.0,,,1566
1,26.0,181.0,79.0,22.0,11.0,1153.0,1,6.819047,11.0,3.0,27.0,5.0,3.0,1.0,0.0,0.0,,948.0,3.0,,36.0,10.0,20.0,174.0,99.0,16.0,10.0,38.0,14.0,4.0,0.0,0.0,0.0,0.0,,87.0,6.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,3.0,45.0,0.0,2.0,1.0,0.0,0.5,39.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,6.0,11.0,19.0,18.0,9.0,1.0,39.5,3.0,0.0,741.0,608.0,0.8205128205128205,14.0,1,-19.0,-6.0,-18.0,-9.0,-1.0,,,0.0,0.0,0.0,0.0,0.0,,,1566
1,26.0,181.0,79.0,22.0,11.0,1153.0,1,6.819047,11.0,3.0,27.0,5.0,3.0,1.0,0.0,0.0,,948.0,3.0,,36.0,10.0,20.0,174.0,99.0,16.0,10.0,38.0,14.0,4.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,6.0,3.0,12.0,17.0,4.0,1.0,49.0,6.0,0.0,379.0,308.0,0.8126649076517151,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,3.0,2,12.0,6.0,17.0,4.0,1.0,,,,,,,,,,1566
1,26.0,181.0,79.0,22.0,11.0,1153.0,1,6.819047,11.0,3.0,27.0,5.0,3.0,1.0,0.0,0.0,,948.0,3.0,,36.0,10.0,20.0,174.0,99.0,16.0,10.0,38.0,14.0,4.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,5.0,1.0,9.0,12.0,0.0,4.0,50.0,2.0,0.0,462.0,407.0,0.8809523809523809,3.0,3,-9.0,-5.0,-12.0,0.0,-4.0,,,0.0,0.0,0.0,,0.0,,,1566
1,26.0,181.0,79.0,22.0,11.0,1153.0,1,6.819047,11.0,3.0,27.0,5.0,3.0,1.0,0.0,0.0,,948.0,3.0,,36.0,10.0,20.0,174.0,99.0,16.0,10.0,38.0,14.0,4.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4.0,1.0,10.0,5.0,8.0,2.0,38.0,0.0,0.0,360.0,305.0,0.8472222222222222,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,6.0,4,10.0,4.0,5.0,8.0,2.0,,,,,,,,,,1566
1,26.0,181.0,79.0,22.0,11.0,1153.0,1,6.819047,11.0,3.0,27.0,5.0,3.0,1.0,0.0,0.0,,948.0,3.0,,36.0,10.0,20.0,174.0,99.0,16.0,10.0,38.0,14.0,4.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,4.0,5,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1566
1,26.0,181.0,79.0,22.0,11.0,1153.0,1,6.819047,11.0,3.0,27.0,5.0,3.0,1.0,0.0,0.0,,948.0,3.0,,36.0,10.0,20.0,174.0,99.0,16.0,10.0,38.0,14.0,4.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4.0,1.0,10.0,5.0,8.0,2.0,38.0,0.0,0.0,360.0,305.0,0.8472222222222222,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,2.0,6,10.0,4.0,5.0,8.0,2.0,,,,,,,,,,1566
1,26.0,181.0,79.0,22.0,11.0,1153.0,1,6.819047,11.0,3.0,27.0,5.0,3.0,1.0,0.0,0.0,,948.0,3.0,,36.0,10.0,20.0,174.0,99.0,16.0,10.0,38.0,14.0,4.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,7.0,9.0,28.0,16.0,18.0,5.0,56.0,3.0,0.0,892.0,772.0,0.8654708520179372,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,2.0,7,28.0,7.0,16.0,18.0,5.0,,,,,,,,,,1566
1,26.0,181.0,79.0,22.0,11.0,1153.0,1,6.819047,11.0,3.0,27.0,5.0,3.0,1.0,0.0,0.0,,948.0,3.0,,36.0,10.0,20.0,174.0,99.0,16.0,10.0,38.0,14.0,4.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,3.0,8.0,18.0,11.0,10.0,3.0,74.0,3.0,0.0,532.0,467.0,0.8778195488721805,6.0,6.0,16.0,22.0,6.0,5.0,51.5,5.0,1.0,884.0,718.0,0.8122171945701357,3.0,8,2.0,-3.0,-11.0,4.0,-2.0,22.5,0.0656023543020447,1.125,0.5,0.5,1.6666666666666667,0.6,1.4368932038834952,1.0807694724275871,1566
1,26.0,181.0,79.0,22.0,11.0,1153.0,1,6.819047,11.0,3.0,27.0,5.0,3.0,1.0,0.0,0.0,,948.0,3.0,,36.0,10.0,20.0,174.0,99.0,16.0,10.0,38.0,14.0,4.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,11.0,19.0,44.0,16.0,21.0,5.0,69.5,4.0,0.0,1038.0,909.0,0.8757225433526011,2.0,5.0,8.0,16.0,5.0,2.0,59.0,2.0,0.0,459.0,363.0,0.7908496732026143,5.0,9,36.0,9.0,0.0,16.0,3.0,10.5,0.0848728701499867,5.5,5.5,1.0,4.2,2.5,1.1779661016949152,1.107318587875603,1566
1,26.0,181.0,79.0,22.0,11.0,1153.0,1,6.819047,11.0,3.0,27.0,5.0,3.0,1.0,0.0,0.0,,948.0,3.0,,36.0,10.0,20.0,174.0,99.0,16.0,10.0,38.0,14.0,4.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,11.0,19.0,44.0,16.0,21.0,5.0,69.5,4.0,0.0,1038.0,909.0,0.8757225433526011,6.0,2.0,11.0,9.0,7.0,2.0,61.0,0.0,0.0,557.0,503.0,0.9030520646319568,3.0,10,33.0,5.0,7.0,14.0,3.0,8.5,-0.0273295212793557,4.0,1.8333333333333333,1.7777777777777777,3.0,2.5,1.139344262295082,0.9697364943288248,1566
1,26.0,181.0,79.0,22.0,11.0,1153.0,1,6.819047,11.0,3.0,27.0,5.0,3.0,1.0,0.0,0.0,,948.0,3.0,,36.0,10.0,20.0,174.0,99.0,16.0,10.0,38.0,14.0,4.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,11.0,19.0,44.0,16.0,21.0,5.0,69.5,4.0,0.0,1038.0,909.0,0.8757225433526011,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,5.0,11,44.0,11.0,16.0,21.0,5.0,,,,,,,,,,1566
1,26.0,181.0,79.0,22.0,11.0,1153.0,1,6.819047,11.0,3.0,27.0,5.0,3.0,1.0,0.0,0.0,,948.0,3.0,,36.0,10.0,20.0,174.0,99.0,16.0,10.0,38.0,14.0,4.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,8.0,11.0,26.0,5.0,11.0,2.0,65.0,1.0,0.0,506.0,442.0,0.8735177865612648,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,7.0,12,26.0,8.0,5.0,11.0,2.0,,,,,,,,,,1566
1,26.0,181.0,79.0,22.0,11.0,1153.0,1,6.819047,11.0,3.0,27.0,5.0,3.0,1.0,0.0,0.0,,948.0,3.0,,36.0,10.0,20.0,174.0,99.0,16.0,10.0,38.0,14.0,4.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,8.0,11.0,26.0,5.0,11.0,2.0,65.0,1.0,0.0,506.0,442.0,0.8735177865612648,7.0,4.0,15.0,8.0,8.0,2.0,57.0,1.0,0.0,402.0,331.0,0.8233830845771144,15.0,13,11.0,1.0,-3.0,3.0,0.0,8.0,0.0501347019841503,1.7333333333333334,1.1428571428571428,0.625,1.375,1.0,1.1403508771929824,1.0608886712919288,1566
1,26.0,181.0,79.0,22.0,11.0,1153.0,1,6.819047,11.0,3.0,27.0,5.0,3.0,1.0,0.0,0.0,,948.0,3.0,,36.0,10.0,20.0,174.0,99.0,16.0,10.0,38.0,14.0,4.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,4.0,7.0,12.0,7.0,2.0,2.0,45.0,0.0,0.0,392.0,309.0,0.7882653061224489,6.0,14,-12.0,-4.0,-7.0,-2.0,-2.0,,,0.0,0.0,0.0,0.0,0.0,,,1566
1,34.0,184.0,78.0,16.0,12.0,1111.0,1,6.76875,4.0,3.0,20.0,4.0,2.0,1.0,0.0,0.0,,729.0,2.0,44.0,13.0,7.0,8.0,56.0,30.0,,,5.0,7.0,3.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4.0,6.0,17.0,16.0,2.0,0.0,56.0,4.0,1.0,596.0,503.0,0.8439597315436241,6.0,14.0,22.0,8.0,8.0,1.0,72.0,3.0,0.0,522.0,441.0,0.8448275862068966,,0,-5.0,-2.0,8.0,-6.0,-1.0,-16.0,-0.0008678546632724,0.7727272727272727,0.6666666666666666,2.0,0.25,0.0,0.7777777777777778,0.9989727434598,1567
1,34.0,184.0,78.0,16.0,12.0,1111.0,1,6.76875,4.0,3.0,20.0,4.0,2.0,1.0,0.0,0.0,,729.0,2.0,44.0,13.0,7.0,8.0,56.0,30.0,,,5.0,7.0,3.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,10.0,11.0,32.0,30.0,4.0,1.0,56.5,6.0,1.0,1124.0,945.0,0.8407473309608541,7.0,6.0,15.0,7.0,7.0,3.0,49.0,2.0,0.0,313.0,227.0,0.7252396166134185,8.0,1,17.0,3.0,23.0,-3.0,-2.0,7.5,0.1155077143474355,2.1333333333333333,1.4285714285714286,4.285714285714286,0.5714285714285714,0.3333333333333333,1.153061224489796,1.159268346214746,1567
1,34.0,184.0,78.0,16.0,12.0,1111.0,1,6.76875,4.0,3.0,20.0,4.0,2.0,1.0,0.0,0.0,,729.0,2.0,44.0,13.0,7.0,8.0,56.0,30.0,,,5.0,7.0,3.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4.0,5.0,11.0,13.0,7.0,1.0,55.0,1.0,0.0,518.0,443.0,0.8552123552123552,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,154.0,2,11.0,4.0,13.0,7.0,1.0,,,,,,,,,,1567
